Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
31015465,07/06/2015 10:58:27 AM,07/22/2015 01:07:20 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Demand for Cash,,11360,27-16 203 STREET,203 STREET,27 AVENUE,BEND,,,ADDRESS,BAYSIDE,,N/A,Closed,07/23/2015 03:33:35 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",07/22/2015 01:07:20 AM,11 QUEENS,QUEENS,1042903,221169,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.773539552542,-73.78823697228408,"(40.773539552542, -73.78823697228408)"
30997660,07/03/2015 01:26:29 PM,07/03/2015 02:08:20 PM,NYPD,New York City Police Department,Vending,In Prohibited Area,Residential Building/House,10019,200 CENTRAL PARK SOUTH,CENTRAL PARK SOUTH,7 AVENUE,COLUMBUS CIRCLE,,,ADDRESS,NEW YORK,,Precinct,Closed,07/03/2015 09:26:29 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/03/2015 02:08:20 PM,05 MANHATTAN,MANHATTAN,989943,218724,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76702142171206,-73.97944780718524,"(40.76702142171206, -73.97944780718524)"
31950223,11/09/2015 03:55:09 AM,11/09/2015 08:08:57 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10453,1993 GRAND AVENUE,GRAND AVENUE,WEST TREMONT AVENUE,WEST BURNSIDE AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,11/09/2015 11:55:09 AM,The Police Department responded to the complaint and determined that police action was not necessary.,11/09/2015 08:08:57 AM,05 BRONX,BRONX,1008980,249941,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85267061877697,-73.91060771362552,"(40.85267061877697, -73.91060771362552)"
31000038,07/03/2015 02:18:32 AM,07/03/2015 07:54:48 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11372,84-16 NORTHERN BOULEVARD,NORTHERN BOULEVARD,84 STREET,85 STREET,,,ADDRESS,JACKSON HEIGHTS,,Precinct,Closed,07/03/2015 10:18:32 AM,The Police Department responded to the complaint and took action to fix the condition.,07/03/2015 07:54:48 AM,03 QUEENS,QUEENS,1016592,214647,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.755773786469966,-73.88326243225418,"(40.755773786469966, -73.88326243225418)"
30995614,07/04/2015 12:03:27 AM,07/04/2015 03:33:09 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11216,1057 BERGEN STREET,BERGEN STREET,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/04/2015 08:03:27 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,07/04/2015 03:33:09 AM,08 BROOKLYN,BROOKLYN,997767,185629,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67617516102934,-73.9512690004692,"(40.67617516102934, -73.9512690004692)"
31042454,07/09/2015 12:00:00 AM,07/20/2015 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Standing Water,Other - Explain Below,Other,,,,MURDOCK AVENUE,112 STREET,MURDOCK AVENUE,112 STREET,,,,N/A,Closed,08/08/2015 11:39:07 AM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/20/2015 12:00:00 AM,Unspecified QUEENS,QUEENS,,,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
31043076,07/09/2015 12:04:06 PM,,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,10469,3344 PEARSALL AVENUE,PEARSALL AVENUE,GIVAN AVENUE,BOSTON ROAD,,,ADDRESS,BRONX,,N/A,Open,08/08/2015 12:04:06 PM,The Department of Parks and Recreation usually requires 30 days to inspect this type of complaint. Please note your Service Request number for future reference.,,12 BRONX,BRONX,1025273,257571,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8735519638795,-73.85166629554799,"(40.8735519638795, -73.85166629554799)"
31037751,07/09/2015 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Standing Water,Puddle in Ground,3+ Family Apartment Building,10016,379 THIRD AVENUE,THIRD AVENUE,EAST 27 STREET,EAST 28 STREET,,,ADDRESS,NEW YORK,,N/A,Open,08/08/2015 12:31:34 PM,The Department of Health and Mental Hygiene will review this Service Request. These types of complaints usually result in agency contact or an inspection. Status will be available at www.nyc.gov/311 within 30 days of the date you submitted the request. Note the Service Request number for future reference.,07/13/2015 12:00:00 AM,06 MANHATTAN,MANHATTAN,989470,209439,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.741536747969185,-73.98116258383294,"(40.741536747969185, -73.98116258383294)"
31298553,08/12/2015 11:09:49 AM,08/28/2015 01:06:41 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Damaged/Defective Goods,,11420,127-19 111 AVENUE,111 AVENUE,127 STREET,128 STREET,,,ADDRESS,SOUTH OZONE PARK,,N/A,Closed,08/29/2015 01:33:38 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation.     311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",08/28/2015 01:06:41 AM,10 QUEENS,QUEENS,1035822,188015,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68258427168297,-73.81405649149323,"(40.68258427168297, -73.81405649149323)"
31492526,09/09/2015 09:59:03 PM,09/09/2015 11:17:39 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11238,238 SAINT JAMES PLACE,SAINT JAMES PLACE,GATES AVENUE,FULTON STREET,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/10/2015 05:59:03 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/09/2015 11:17:39 PM,02 BROOKLYN,BROOKLYN,994297,188226,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.68330795503152,-73.96377504548408,"(40.68330795503152, -73.96377504548408)"
