Agency,Created Date,Month,Complaint Type,Time,Borough
NYPD,2015-07-13 01:14:41,Jul,Illegal Parking,0 days 06:05:56.000000000,BROOKLYN
NYPD,2015-05-21 04:43:05,May,Illegal Parking,0 days 01:35:33.000000000,BROOKLYN
NYPD,2015-07-09 08:24:52,Jul,Illegal Parking,0 days 01:16:28.000000000,BROOKLYN
NYPD,2015-06-15 20:03:12,Jun,Illegal Parking,0 days 00:06:13.000000000,BROOKLYN
NYPD,2015-06-15 09:51:06,Jun,Illegal Parking,0 days 14:21:35.000000000,BROOKLYN
NYPD,2015-06-15 09:40:12,Jun,Illegal Parking,0 days 05:38:17.000000000,BROOKLYN
NYPD,2015-09-09 10:37:08,Sep,Illegal Parking,0 days 09:00:56.000000000,BROOKLYN
NYPD,2015-11-09 20:36:31,Nov,Illegal Parking,0 days 03:25:32.000000000,BROOKLYN
NYPD,2015-09-07 21:44:27,Sep,Illegal Parking,0 days 00:35:05.000000000,BROOKLYN
NYPD,2015-09-13 12:50:17,Sep,Illegal Parking,0 days 02:18:36.000000000,BROOKLYN
NYPD,2015-03-09 15:50:59,Mar,Illegal Parking,0 days 05:14:50.000000000,BROOKLYN
NYPD,2015-06-20 22:04:25,Jun,Illegal Parking,0 days 00:49:27.000000000,BROOKLYN
NYPD,2015-10-09 12:06:37,Oct,Illegal Parking,0 days 04:15:56.000000000,BROOKLYN
NYPD,2015-04-10 23:05:55,Apr,Illegal Parking,0 days 03:39:21.000000000,BROOKLYN
NYPD,2015-07-04 07:39:57,Jul,Illegal Parking,0 days 00:55:09.000000000,BROOKLYN
NYPD,2015-09-25 10:21:36,Sep,Illegal Parking,0 days 02:06:32.000000000,BROOKLYN
NYPD,2015-09-13 14:26:05,Sep,Illegal Parking,0 days 09:09:30.000000000,BROOKLYN
NYPD,2015-09-25 16:09:28,Sep,Illegal Parking,0 days 04:39:12.000000000,BROOKLYN
NYPD,2015-02-25 14:46:11,Feb,Illegal Parking,0 days 03:33:46.000000000,BROOKLYN
NYPD,2015-09-15 10:08:30,Sep,Illegal Parking,0 days 04:15:43.000000000,BROOKLYN
NYPD,2015-02-26 02:07:08,Feb,Illegal Parking,0 days 02:18:18.000000000,BROOKLYN
NYPD,2015-09-25 13:14:32,Sep,Illegal Parking,0 days 02:32:41.000000000,BROOKLYN
NYPD,2015-09-20 16:10:16,Sep,Illegal Parking,0 days 03:59:31.000000000,BROOKLYN
